top row,Structure,Chemical Name,Minimum % Purity,Catalog Number,Structural Formula,Formula Weight,Availability,Price USD 10mg,Price USD 100mg,Price USD 250mg,Price USD    1g,Price USD    5g,Price USD    20g,Price USD    50g
4039421,,3-Bromo-1-methyl-pyridinium iodide,95,FS003003,C6H7BrIN,299.93779,In Stock,,,95,115,470,,
4039423,,3-Bromo-4-iodobenzoic acid methyl ester,95,FS003005,C8H6BrIO2,340.94422,In Stock,,,,195,895,2495,3992
4039427,,4-Bromoacetanilide,95,FS003009,C8H8BrNO,214.06306,In Stock,,,,,,95,152
4039428,,2-Aminocarbonyl-phenoxyacetic acid,95,FS003010,C9H9NO4,195.17638,In Stock,,,,95,145,255,
4039429,,4-(2'-Aminoethyl)piperidine dihydrochloride,95,FS003011,C7H18Cl2N2,201.14091,In Stock,,95,195,495,1495,2995,
4039430,,"2-(3,4-Dimethylphenyl)-acetonitrile",95,FS003012,C10H11N,145.20587,In Stock,,,,,95,,
4039431,,Cyclododecanol,95,FS003015,C12H24O,184.32448,In Stock,,,,,,95,152
4039432,,2-(4'-Bromophenoxy)-tetrahydropyran,95,FS003016,C11H13BrO2,257.12906,In Stock,,,,,95,,
4039433,,Dibenzyl succinate,95,FS003013,C18H18O4,298.34176,In Stock,,,,,,95,152
4039436,,4-Chlorobenzylamine,95,FS003018,C7H8ClN,141.60151,In Stock,,,,,,95,
4039437,,1-Methyl-4-(3'-aminopropyl)piperazine,95,FS003019,C8H19N3,157.26073,In Stock,,,,95,,,
4039444,,7-Methyl-benzo[b]thiophene,95,FS002055,C9H8S,148.22811,In Stock,,,495,995,1895,,
4039445,,3-Bromo-2-methyl-benzo[b]thiophene,95,FS002037,C9H7BrS,227.12414,In Stock,,95,195,495,1495,4995,
4039453,,5-Bromo-2-iodo-benzo[b]thiophene,95,FS002041,C8H4BrIS,338.99348,In Stock,,,495,1150,2950,4950,
4039455,,6-Bromo-benzo[b]thiophene,93,FS002042,C8H5BrS,213.09705,In Stock,95,245,595,850,3495,4995,
4039459,,2-Iodo-benzo[b]thiophene,95,FS002046,C8H5IS,260.09745,In Stock,,,,950,2450,3950,
4039471,,5-Biphenyl-3-yl-2H-tetrazole,99,FS002208,C13H10N4,222.25145,In Stock,75,145,295,495,1995,,
4039472,,5-Biphenyl-4-yl-2H-tetrazole,99,FS002209,C13H10N4,222.25145,In Stock,75,95,225,395,1895,,
4039473,,4-(2-Methoxy-benzenesulfonyl)-piperazine hydrochloride,99,FS002210,C11H17ClN2O3S,292.78674,In Stock,,95,195,395,1350,2950,
4039474,,4-(2-Bromo-benzenesulfonyl)-piperazine hydrochloride,99,FS002211,C10H14BrClN2O2S,341.65628,In Stock,75,95,135,195,,,
4039475,,4-(2-Trifluoromethoxy-benzenesulfonyl)-piperazine hydrochloride,99,FS002212,C11H14ClF3N2O3S,346.75803,In Stock,75,95,145,295,,,
4039476,,4-(5-Chloro-naphthalene-2-sulfonyl)-piperazine hydrochloride,99,FS002213,C14H16Cl2N2O2S,347.26582,In Stock,75,135,195,,,,
